ID:9936 SKID:BK1+54.5  timeStamp:2025-03-28 08:09:13:61
ID:9936 SKID:BK1+56  timeStamp:2025-03-28 08:09:13:226
ID:9936 SKID:BK1+57  timeStamp:2025-03-28 08:09:13:398
ID:9936 SKID:BK1+58.5  timeStamp:2025-03-28 08:09:13:561
ID:9936 SKID:BK1+59.5  timeStamp:2025-03-28 08:09:13:721
ID:9936 SKID:BK1+61  timeStamp:2025-03-28 08:09:13:886
ID:9936 SKID:BK1+62.5  timeStamp:2025-03-28 08:09:14:51
ID:9936 SKID:BK1+63.5  timeStamp:2025-03-28 08:09:14:218
ID:9936 SKID:BK1+65  timeStamp:2025-03-28 08:09:14:378
ID:9936 SKID:BK1+66  timeStamp:2025-03-28 08:09:14:537
ID:9936 SKID:BK1+67.5  timeStamp:2025-03-28 08:09:14:693
ID:9936 SKID:BK1+68.5  timeStamp:2025-03-28 08:09:14:857
ID:9936 SKID:BK1+69.5  timeStamp:2025-03-28 08:09:15:16
ID:9936 SKID:BK1+71  timeStamp:2025-03-28 08:09:15:459
ID:9936 SKID:BK1+72.5  timeStamp:2025-03-28 08:09:15:691
ID:9936 SKID:BK1+73.5  timeStamp:2025-03-28 08:09:15:864
ID:9936 SKID:BK1+75  timeStamp:2025-03-28 08:09:16:31
ID:9936 SKID:BK1+76  timeStamp:2025-03-28 08:09:16:195
ID:9936 SKID:BK1+77  timeStamp:2025-03-28 08:09:16:358
ID:9936 SKID:BK1+78.5  timeStamp:2025-03-28 08:09:16:519
ID:9936 SKID:BK1+80  timeStamp:2025-03-28 08:09:16:689
ID:9936 SKID:BK1+81.5  timeStamp:2025-03-28 08:09:16:871
ID:9936 SKID:BK1+82.5  timeStamp:2025-03-28 08:09:17:34
ID:9936 SKID:BK1+84  timeStamp:2025-03-28 08:09:17:192
ID:9936 SKID:BK1+85  timeStamp:2025-03-28 08:09:17:351
ID:9936 SKID:BK1+86  timeStamp:2025-03-28 08:09:17:509
ID:9936 SKID:BK1+87.5  timeStamp:2025-03-28 08:09:17:668
ID:9936 SKID:BK1+89  timeStamp:2025-03-28 08:09:17:842
ID:9936 SKID:BK1+90  timeStamp:2025-03-28 08:09:18:08
ID:9936 SKID:BK1+91.5  timeStamp:2025-03-28 08:09:18:169
ID:9936 SKID:BK1+92.5  timeStamp:2025-03-28 08:09:18:335
ID:9936 SKID:BK1+94  timeStamp:2025-03-28 08:09:18:491
ID:9936 SKID:BK1+95.5  timeStamp:2025-03-28 08:09:18:653
ID:9936 SKID:BK1+97  timeStamp:2025-03-28 08:09:18:819
ID:9936 SKID:BK1+98  timeStamp:2025-03-28 08:09:18:991
ID:9936 SKID:BK1+99.5  timeStamp:2025-03-28 08:09:19:151
ID:9936 SKID:BK1+100.5  timeStamp:2025-03-28 08:09:19:323
ID:9936 SKID:BK1+102  timeStamp:2025-03-28 08:09:19:484
ID:9936 SKID:BK1+103  timeStamp:2025-03-28 08:09:19:646
ID:9936 SKID:BK1+104.5  timeStamp:2025-03-28 08:09:19:805
ID:9936 SKID:BK1+106  timeStamp:2025-03-28 08:09:19:970
ID:9936 SKID:BK1+107  timeStamp:2025-03-28 08:09:20:130
ID:9936 SKID:BK1+108  timeStamp:2025-03-28 08:09:20:290
ID:9936 SKID:BK1+109.5  timeStamp:2025-03-28 08:09:20:449
