ID:9961 SKID:AK0+537.5  timeStamp:2025-03-28 08:09:01:967
ID:9961 SKID:AK0+539.5  timeStamp:2025-03-28 08:09:02:144
ID:9961 SKID:AK0+541  timeStamp:2025-03-28 08:09:02:330
ID:9961 SKID:AK0+542.5  timeStamp:2025-03-28 08:09:02:506
ID:9961 SKID:AK0+544.5  timeStamp:2025-03-28 08:09:02:693
ID:9961 SKID:AK0+546  timeStamp:2025-03-28 08:09:02:872
ID:9961 SKID:AK0+548  timeStamp:2025-03-28 08:09:03:57
ID:9961 SKID:AK0+549.5  timeStamp:2025-03-28 08:09:03:240
ID:9961 SKID:AK0+551  timeStamp:2025-03-28 08:09:03:417
ID:9961 SKID:AK0+552.5  timeStamp:2025-03-28 08:09:03:599
ID:9961 SKID:AK0+554.5  timeStamp:2025-03-28 08:09:03:776
ID:9961 SKID:AK0+555.5  timeStamp:2025-03-28 08:09:03:963
ID:9961 SKID:AK0+557.5  timeStamp:2025-03-28 08:09:04:145
ID:9961 SKID:AK0+559.5  timeStamp:2025-03-28 08:09:04:327
ID:9961 SKID:AK0+561  timeStamp:2025-03-28 08:09:04:511
ID:9961 SKID:AK0+562.5  timeStamp:2025-03-28 08:09:04:695
ID:9961 SKID:AK0+564.5  timeStamp:2025-03-28 08:09:04:891
ID:9961 SKID:AK0+566  timeStamp:2025-03-28 08:09:05:73
ID:9961 SKID:AK0+567.5  timeStamp:2025-03-28 08:09:05:249
ID:9961 SKID:AK0+569  timeStamp:2025-03-28 08:09:05:430
ID:9961 SKID:AK0+570.5  timeStamp:2025-03-28 08:09:05:618
ID:9961 SKID:AK0+572.5  timeStamp:2025-03-28 08:09:05:802
ID:9961 SKID:AK0+575.5  timeStamp:2025-03-28 08:09:06:163
ID:9961 SKID:AK0+574  timeStamp:2025-03-28 08:09:05:989
ID:9961 SKID:AK0+577.5  timeStamp:2025-03-28 08:09:06:331
ID:9961 SKID:AK0+579  timeStamp:2025-03-28 08:09:06:499
ID:9961 SKID:AK0+580.5  timeStamp:2025-03-28 08:09:06:672
ID:9961 SKID:AK0+582  timeStamp:2025-03-28 08:09:06:850
ID:9961 SKID:AK0+584  timeStamp:2025-03-28 08:09:07:31
ID:9961 SKID:AK0+585.5  timeStamp:2025-03-28 08:09:07:205
ID:9961 SKID:AK0+588  timeStamp:2025-03-28 08:09:07:679
ID:9961 SKID:AK0+589.5  timeStamp:2025-03-28 08:09:07:916
ID:9961 SKID:AK0+591  timeStamp:2025-03-28 08:09:08:86
ID:9961 SKID:AK0+592.5  timeStamp:2025-03-28 08:09:08:254
ID:9961 SKID:AK0+594  timeStamp:2025-03-28 08:09:08:421
ID:9961 SKID:AK0+595.5  timeStamp:2025-03-28 08:09:08:591
ID:9961 SKID:AK0+597.5  timeStamp:2025-03-28 08:09:08:764
ID:9961 SKID:AK0+599  timeStamp:2025-03-28 08:09:08:938
ID:9961 SKID:K1122+93.5  timeStamp:2025-03-28 08:09:09:107
ID:9961 SKID:AK0+602.5  timeStamp:2025-03-28 08:09:09:294
ID:9961 SKID:AK0+604  timeStamp:2025-03-28 08:09:09:468
ID:9961 SKID:K1122+91.5  timeStamp:2025-03-28 08:09:09:637
ID:9961 SKID:AK0+607  timeStamp:2025-03-28 08:09:09:814
ID:9961 SKID:AK0+609.5  timeStamp:2025-03-28 08:09:09:986
ID:9961 SKID:AK0+611  timeStamp:2025-03-28 08:09:10:155
ID:9961 SKID:AK0+612.5  timeStamp:2025-03-28 08:09:10:324
ID:9961 SKID:AK0+614  timeStamp:2025-03-28 08:09:10:502
ID:9961 SKID:AK0+615.5  timeStamp:2025-03-28 08:09:10:675
ID:9961 SKID:AK0+617  timeStamp:2025-03-28 08:09:10:852
ID:9961 SKID:AK0+619.5  timeStamp:2025-03-28 08:09:11:34
ID:9961 SKID:AK0+621  timeStamp:2025-03-28 08:09:11:206
ID:9961 SKID:AK0+622.5  timeStamp:2025-03-28 08:09:11:374
ID:9961 SKID:AK0+624.5  timeStamp:2025-03-28 08:09:11:545
ID:9961 SKID:AK0+626  timeStamp:2025-03-28 08:09:11:712
ID:9961 SKID:AK0+627.5  timeStamp:2025-03-28 08:09:11:883
ID:9961 SKID:AK0+629  timeStamp:2025-03-28 08:09:12:51
ID:9961 SKID:AK0+630.5  timeStamp:2025-03-28 08:09:12:222
ID:9961 SKID:AK0+633  timeStamp:2025-03-28 08:09:12:392
ID:9961 SKID:AK0+634  timeStamp:2025-03-28 08:09:12:561
ID:9961 SKID:AK0+635.5  timeStamp:2025-03-28 08:09:12:728
ID:9961 SKID:AK0+637  timeStamp:2025-03-28 08:09:12:894
ID:9961 SKID:AK0+639.5  timeStamp:2025-03-28 08:09:13:61
ID:9961 SKID:AK0+641  timeStamp:2025-03-28 08:09:13:226
ID:9961 SKID:AK0+642.5  timeStamp:2025-03-28 08:09:13:398
ID:9961 SKID:AK0+644  timeStamp:2025-03-28 08:09:13:561
ID:9961 SKID:AK0+645.5  timeStamp:2025-03-28 08:09:13:721
ID:9961 SKID:AK0+647.5  timeStamp:2025-03-28 08:09:13:886
ID:9961 SKID:AK0+649  timeStamp:2025-03-28 08:09:14:51
ID:9961 SKID:AK0+650.5  timeStamp:2025-03-28 08:09:14:218
ID:9961 SKID:AK0+652  timeStamp:2025-03-28 08:09:14:378
ID:9961 SKID:AK0+654.5  timeStamp:2025-03-28 08:09:14:537
ID:9961 SKID:AK0+656  timeStamp:2025-03-28 08:09:14:693
ID:9961 SKID:AK0+657.5  timeStamp:2025-03-28 08:09:14:857
ID:9961 SKID:AK0+659  timeStamp:2025-03-28 08:09:15:16
ID:9961 SKID:AK0+661  timeStamp:2025-03-28 08:09:15:459
ID:9961 SKID:AK0+662.5  timeStamp:2025-03-28 08:09:15:691
ID:9961 SKID:AK0+664  timeStamp:2025-03-28 08:09:15:864
ID:9961 SKID:AK0+666  timeStamp:2025-03-28 08:09:16:31
ID:9961 SKID:AK0+667.5  timeStamp:2025-03-28 08:09:16:195
ID:9961 SKID:AK0+668.5  timeStamp:2025-03-28 08:09:16:358
ID:9961 SKID:AK0+671  timeStamp:2025-03-28 08:09:16:519
ID:9961 SKID:AK0+672.5  timeStamp:2025-03-28 08:09:16:689
ID:9961 SKID:AK0+674  timeStamp:2025-03-28 08:09:16:871
ID:9961 SKID:AK0+675.5  timeStamp:2025-03-28 08:09:17:34
ID:9961 SKID:AK0+677.5  timeStamp:2025-03-28 08:09:17:192
ID:9961 SKID:AK0+678.5  timeStamp:2025-03-28 08:09:17:351
ID:9961 SKID:AK0+680.5  timeStamp:2025-03-28 08:09:17:509
ID:9961 SKID:AK0+682.5  timeStamp:2025-03-28 08:09:17:668
ID:9961 SKID:AK0+684.5  timeStamp:2025-03-28 08:09:17:842
ID:9961 SKID:AK0+686  timeStamp:2025-03-28 08:09:18:08
ID:9961 SKID:AK0+687.5  timeStamp:2025-03-28 08:09:18:169
ID:9961 SKID:AK0+689  timeStamp:2025-03-28 08:09:18:335
ID:9961 SKID:AK0+690.5  timeStamp:2025-03-28 08:09:18:491
ID:9961 SKID:AK0+692.5  timeStamp:2025-03-28 08:09:18:653
ID:9961 SKID:AK0+694  timeStamp:2025-03-28 08:09:18:819
ID:9961 SKID:AK0+695.5  timeStamp:2025-03-28 08:09:18:991
ID:9961 SKID:AK0+697  timeStamp:2025-03-28 08:09:19:151
ID:9961 SKID:AK0+699  timeStamp:2025-03-28 08:09:19:323
ID:9961 SKID:AK0+700.5  timeStamp:2025-03-28 08:09:19:484
ID:9961 SKID:AK0+702  timeStamp:2025-03-28 08:09:19:646
ID:9961 SKID:AK0+704.5  timeStamp:2025-03-28 08:09:19:805
ID:9961 SKID:AK0+706  timeStamp:2025-03-28 08:09:19:970
ID:9961 SKID:AK0+707.5  timeStamp:2025-03-28 08:09:20:130
ID:9961 SKID:AK0+708.5  timeStamp:2025-03-28 08:09:20:290
ID:9961 SKID:AK0+710.5  timeStamp:2025-03-28 08:09:20:449
ID:9961 SKID:AK0+712  timeStamp:2025-03-28 08:09:20:602
ID:9961 SKID:AK0+714  timeStamp:2025-03-28 08:09:20:751
ID:9961 SKID:AK0+715.5  timeStamp:2025-03-28 08:09:20:905
ID:9961 SKID:AK0+717  timeStamp:2025-03-28 08:09:21:61
ID:9961 SKID:AK0+718.5  timeStamp:2025-03-28 08:09:21:216
ID:9961 SKID:AK0+720.5  timeStamp:2025-03-28 08:09:21:367
ID:9961 SKID:AK0+722  timeStamp:2025-03-28 08:09:21:519
ID:9961 SKID:AK0+724  timeStamp:2025-03-28 08:09:21:670
ID:9961 SKID:AK0+725.5  timeStamp:2025-03-28 08:09:21:816
ID:9961 SKID:AK0+727  timeStamp:2025-03-28 08:09:21:972
ID:9961 SKID:AK0+729  timeStamp:2025-03-28 08:09:22:120
